Make,Model,Year,KM's driven,Price,Fuel,Registration city,Car documents,Assembly,Transmission,Condition
Suzuki,Mehran VXR,2005,15000,650000,Petrol,Lahore,Original,Imported,Manual,Used
Toyota,Corolla XLI,2012,190000,2190000,Petrol,Lahore,Original,Imported,Manual,Used
Daihatsu,Move,2013,98000,2300000,Petrol,Lahore,Original,Imported,Automatic,Used
Daihatsu,Cuore,2009,123456,650000,Petrol,Karachi,Original,Imported,Manual,Used
Daihatsu,Mira,2017,28000,2950000,Petrol,Sindh,Original,Imported,Automatic,Used
Suzuki,Bolan,2017,67432,1165000,Petrol,Lahore,Original,Local,Manual,Used
Suzuki,Cultus VXR,2005,85000,700000,Petrol,Sialkot,Original,Local,Manual,Used
Daihatsu,Mira,2020,40000,3450000,Petrol,Unregistered,Original,Imported,Automatic,Used
Suzuki,Mehran VXR,2008,80000,725000,Petrol,Lahore,Original,Local,Manual,Used
Mitsubishi,Lancer,2006,182000,1365000,Petrol,Sindh,Original,Imported,Manual,Used
Suzuki,Cultus VXR,2018,83000,2050000,Petrol,Lahore,Original,Local,Manual,Used
Suzuki,Mehran VXR,2012,126580,670000,Petrol,Punjab,Original,Local,Manual,Used
FAW,V2,2018,82000,1590000,Petrol,Islamabad,Original,Local,Manual,Used
Honda,Civic Prosmetic,2016,89957,4450000,Petrol,Lahore,Original,Local,Automatic,Used
Honda,Civic Prosmetic,2013,112000,3500000,Petrol,Lahore,Original,Local,Automatic,Used
Hyundai,Santro,2007,223032,1250000,Petrol,Lahore,Original,Local,Manual,Used
Honda,City IDSI,2005,140000,1365000,Petrol,Lahore,Original,Local,Manual,Used
Honda,Civic Oriel,2012,123456,2400000,Petrol,Karachi,Original,Local,Automatic,Used
Daihatsu,Mira,2018,80000,3075000,Petrol,Karachi,Original,Imported,Automatic,Used
KIA,Picanto,2022,11000,3300000,Petrol,Islamabad,Original,Local,Automatic,Used
Honda,City Vario,2001,210050,1050000,Petrol,Karachi,Original,Local,Manual,Used
Daihatsu,Cuore,2008,90000,960000,Petrol,Islamabad,Original,Local,Manual,Used
Suzuki,Mehran VXR,2018,31000,1590000,Petrol,Lahore,Original,Local,Manual,Used
Suzuki,Bolan,2021,4800,1830000,Petrol,Lahore,Original,Local,Manual,Used
Honda,City IVTEC,2020,37000,4800000,Petrol,Lahore,Original,Local,Automatic,Used
Honda,City IVTEC,2014,155000,3050000,Petrol,Lahore,Original,Local,Automatic,Used
Suzuki,Swift,2014,145000,2100000,Petrol,Lahore,Original,Imported,Manual,Used
Honda,City IVTEC,2018,60000,3595000,Petrol,Karachi,Original,Local,Automatic,Used
Suzuki,Alto,2008,100000,950000,Petrol,Rawalpindi,Original,Imported,Manual,Used
Toyota,Passo,2013,150000,2600000,Petrol,Karachi,Original,Imported,Automatic,Used
Honda,City IDSI,2003,12345,850000,Petrol,Gujranwala,Original,Local,Manual,Used
Honda,Civic Oriel,2017,90000,5000000,Petrol,Lahore,Original,Imported,Automatic,Used
Honda,Civic Prosmetic,2005,123456,1650000,Petrol,Lahore,Original,Local,Automatic,Used
Toyota,Corolla XLI,2009,223000,2200000,Petrol,Lahore,Original,Local,Manual,Used
Hyundai,Santro,2007,92354,1055000,Petrol,Lahore,Original,Local,Manual,Used
Changan,Alsvin,2021,19220,4250000,Petrol,Lahore,Original,Local,Automatic,Used
Hyundai,Santro,2005,12345,955000,Petrol,Islamabad,Original,Imported,Manual,Used
Honda,City IVTEC,2017,69000,3150000,Petrol,Karachi,Original,Local,Manual,Used
Daihatsu,Mira,2014,97000,2065000,Petrol,Karachi,Original,Local,Automatic,Used
Suzuki,Wagon R,2018,68000,1960000,Petrol,Lahore,Original,Local,Manual,Used
Suzuki,Mehran VXR,2015,93000,1150000,Petrol,Islamabad,Original,Local,Manual,Used
Daihatsu,Mira,2012,170000,1900000,Petrol,Lahore,Original,Imported,Automatic,Used
Honda,Civic Prosmetic,2011,150000,2150000,Petrol,Sindh,Original,Local,Automatic,Used
Daihatsu,Hijet,2013,150000,1400000,Petrol,Lahore,Original,Imported,Automatic,Used
Suzuki,Mehran VXR,2015,61800,1250000,Petrol,Lahore,Original,Local,Manual,Used
Hyundai,Santro,2004,1000,799000,Petrol,Karachi,Original,Imported,Manual,Used
Toyota,Corolla GLI,2018,52000,4200000,Petrol,Lahore,Original,Local,Manual,Used
Suzuki,Bolan,2022,1495,1850000,Petrol,Islamabad,Original,Local,Manual,Used
Toyota,Corolla GLI,2010,170000,2300000,Petrol,Karachi,Original,Local,Manual,Used
Suzuki,Bolan,2014,70515,900000,Petrol,Karachi,Original,Local,Manual,Used
Toyota,Altis Grande,2015,95000,3750000,Petrol,Karachi,Original,Local,Automatic,Used
Suzuki,Swift,2012,96000,1550000,Petrol,Karachi,Original,Imported,Manual,Used
Honda,Civic Prosmetic,2013,114000,2850000,Petrol,Lahore,Original,Local,Automatic,Used
Suzuki,Wagon R,2015,91000,1500000,Petrol,Karachi,Original,Local,Manual,Used
Honda,City IVTEC,2010,137000,2220000,Petrol,Lahore,Original,Local,Manual,Used
Suzuki,Wagon R,2018,83000,2200000,Petrol,Lahore,Original,Local,Manual,Used
Daihatsu,Cuore,2011,100000,850000,Petrol,Karachi,Original,Local,Manual,Used
Suzuki,Every,2021,175000,2300000,Petrol,Sindh,Original,Imported,Automatic,Used
Toyota,Corolla XLI,2013,252000,2550000,Petrol,Lahore,Original,Imported,Manual,Used
Suzuki,Alto,2009,125000,715000,Petrol,Karachi,Original,Local,Manual,Used
Honda,City IVTEC,2021,19800,4175000,Petrol,Karachi,Original,Local,Automatic,Used
Honda,City IVTEC,2018,74000,3025000,Petrol,Karachi,Original,Local,Manual,Used
Toyota,Altis Grande,2015,75000,4500000,Petrol,Lahore,Original,Local,Automatic,Used
Toyota,Altis Grande,2018,99850,5000000,Petrol,Lahore,Original,Local,Automatic,Used
Honda,Civic Oriel,2012,6500,1800000,Petrol,Lahore,Original,Imported,Automatic,Used
Daihatsu,Move,2011,56000,1750000,Petrol,Lahore,Original,Imported,Automatic,Used
Suzuki,Mehran VXR,2019,26000,1350000,Petrol,Karachi,Original,Local,Manual,Used
Daihatsu,Cuore,2007,59000,1050000,Petrol,Multan,Original,Imported,Manual,Used
Suzuki,Mehran VXR,2017,44000,1520000,Petrol,Lahore,Original,Local,Manual,Used
Daihatsu,Move,2014,96000,2200000,Petrol,Multan,Original,Imported,Automatic,Used
Mitsubishi,Ek Wagon,2017,69000,2350000,Petrol,Lahore,Original,Imported,Automatic,Used
Suzuki,Every,2006,100000,1300000,Petrol,Sindh,Original,Local,Automatic,Used
Honda,City IDSI,2005,110750,1535000,Petrol,Karachi,Original,Local,Automatic,Used
Toyota,Corolla GLI,2020,35000,5000000,Petrol,Multan,Original,Local,Automatic,Used
Honda,Civic Prosmetic,2004,8500,1250000,Petrol,Karachi,Original,Imported,Automatic,Used
Toyota,Passo,2014,55000,2640000,Petrol,Karachi,Original,Imported,Automatic,Used
Suzuki,Alto,2015,96000,2700000,Petrol,Islamabad,Original,Imported,Automatic,Used
Honda,City Vario,2008,90000,1780000,Petrol,Karachi,Original,Imported,Automatic,Used
Honda,City Aspire,2015,136168,3400000,Petrol,Lahore,Original,Local,Automatic,Used
Suzuki,Baleno,2005,500000,950000,Petrol,Islamabad,Original,Local,Manual,Used
Daihatsu,Mira,2013,110000,2000000,Petrol,Islamabad,Original,Imported,Automatic,Used
FAW,X-PV,2016,212000,825000,Petrol,Islamabad,Original,Local,Manual,Used
Honda,City Vario,2004,140000,1700000,Petrol,Lahore,Original,Local,Automatic,Used
Changan,Alsvin,2022,29000,3650000,Petrol,Islamabad,Original,Imported,Automatic,Used
Suzuki,Wagon R,2018,110000,1850000,Petrol,Lahore,Original,Local,Manual,Used
Daihatsu,Cuore,2009,76000,1325000,Petrol,Islamabad,Original,Imported,Manual,Used
Honda,Civic Prosmetic,2003,205700,1550000,Petrol,Faisalabad,Original,Local,Automatic,Used
Suzuki,Wagon R,2016,80000,2200000,Petrol,Lahore,Original,Local,Manual,Used
Daihatsu,Mira,2015,89000,2230000,Petrol,Islamabad,Original,Imported,Automatic,Used
Honda,City IVTEC,2019,80000,4000000,Petrol,Lahore,Original,Imported,Automatic,Used
KIA,Picanto,2021,40000,2600000,Petrol,Punjab,Original,Imported,Manual,Used
Suzuki,Wagon R,2017,113000,2130000,Petrol,Islamabad,Original,Local,Manual,Used
Chevrolet,Exclusive,2005,50000,450000,Petrol,Karachi,Original,Imported,Manual,Used
Honda,City IVTEC,2020,70000,3700000,Petrol,Lahore,Original,Local,Manual,Used
Suzuki,Cultus VXR,2005,95259,850000,Petrol,Lahore,Original,Local,Manual,Used
Suzuki,Every,2013,81000,1625000,Petrol,Karachi,Original,Imported,Automatic,Used
Daihatsu,Cuore,2006,123456,650000,Petrol,Sindh,Original,Imported,Manual,Used
Honda,City Aspire,2013,90000,2625000,Petrol,Lahore,Original,Local,Manual,Used
Honda,City Aspire,2000,95842,855000,Petrol,Lahore,Original,Imported,Manual,Used
Suzuki,Cultus VXR,2013,80000,1350000,Petrol,Karachi,Original,Imported,Manual,Used
Honda,City IVTEC,2015,70000,2750000,Petrol,Karachi,Original,Local,Manual,Used
Daihatsu,Mira,2015,197000,2200000,Petrol,Karachi,Original,Imported,Automatic,Used
Toyota,Corolla GLI,2011,186078,2000000,Petrol,Karachi,Original,Local,Manual,Used
Hyundai,Santro,2001,50000,695000,Petrol,Islamabad,Original,Local,Manual,Used
KIA,Picanto,2022,5000,3200000,Petrol,Karachi,Original,Local,Automatic,Used
Honda,City IDSI,2002,12345,760000,CNG,Karachi,Original,Local,Manual,Used
Suzuki,Cultus VXR,2020,37000,2700000,Petrol,Karachi,Original,Local,Manual,Used
Suzuki,Alto,2020,53650,2450000,Petrol,Islamabad,Original,Local,Manual,Used
Suzuki,Bolan,2015,12000,850000,Petrol,Sialkot,Original,Local,Automatic,Used
Suzuki,Mehran VXR,2019,45000,1450000,Petrol,Punjab,Original,Local,Manual,Used
Suzuki,Wagon R,2019,108000,2450000,Petrol,Lahore,Original,Local,Manual,Used
Suzuki,Swift,2018,102700,2450000,Petrol,Lahore,Original,Local,Manual,Used
Honda,City Aspire,2013,101000,2750000,Petrol,Lahore,Original,Local,Manual,Used
Honda,City IVTEC,2002,150000,870000,Petrol,Lahore,Original,Local,Manual,Used
Toyota,Passo,2007,152000,1850000,Petrol,Islamabad,Original,Imported,Automatic,Used
Suzuki,Khyber,1989,142536,185000,Petrol,Karachi,Original,Local,Manual,Used
Honda,City IVTEC,2014,100000,3150000,Petrol,Islamabad,Original,Imported,Manual,Used
Suzuki,Cultus VXR,2006,100000,690000,CNG,Karachi,Original,Local,Manual,Used
Toyota,Altis Grande,2016,64429,4780000,Petrol,Lahore,Original,Local,Automatic,Used
Daihatsu,Hijet,2017,88000,1450000,Petrol,Lahore,Original,Imported,Automatic,Used
Honda,City IDSI,2007,12345,1575000,Petrol,Karachi,Original,Local,Manual,Used
Suzuki,Cultus VXR,2016,66000,1480000,Petrol,Karachi,Original,Local,Manual,Used
Honda,City Aspire,2009,90000,2550000,Petrol,Islamabad,Original,Local,Automatic,Used
Suzuki,Alto,2020,45000,2085000,Petrol,Karachi,Original,Local,Manual,Used
Suzuki,Mehran VXR,2003,5555,400000,CNG,Lahore,Original,Local,Manual,Used
Honda,City IVTEC,2017,72000,3100000,Petrol,Lahore,Original,Local,Manual,Used
Suzuki,Bolan,2014,42000,990000,Petrol,Lahore,Original,Local,Manual,Used
Toyota,Passo,2007,92000,1720000,Petrol,Karachi,Original,Imported,Automatic,Used
Honda,Civic Oriel,2005,6000,1380000,Petrol,Islamabad,Original,Imported,Manual,Used
Suzuki,Swift,2019,150000,2550000,Petrol,Lahore,Original,Local,Manual,Used
Suzuki,Mehran VXR,2007,45000,625000,Petrol,Faisalabad,Original,Local,Manual,Used
Toyota,Corrolla Altis,2019,60000,4800000,Petrol,Islamabad,Original,Local,Automatic,Used
Honda,City IVTEC,2019,55000,3800000,Petrol,Multan,Original,Local,Manual,Used
Toyota,Corolla GLI,2017,150000,3800000,Petrol,Gujrat,Original,Local,Manual,Used
Toyota,Corolla GLI,2015,120230,3850000,Petrol,Islamabad,Original,Local,Manual,Used
Suzuki,Swift,2017,125000,2350000,Petrol,Faisalabad,Original,Local,Manual,Used
Mitsubishi,Lancer,2007,150000,1350000,Petrol,Karachi,Original,Local,Automatic,Used
Toyota,Yaris,2021,12000,4600000,Petrol,Islamabad,Original,Local,Automatic,Used
Chevrolet,Exclusive,2004,25100,450000,Petrol,Karachi,Original,Imported,Manual,Used
Honda,Civic Oriel,2018,96000,4900000,Petrol,Lahore,Original,Imported,Automatic,Used
Honda,City IDSI,2006,148000,1550000,Petrol,Karachi,Original,Local,Manual,Used
Toyota,Corolla XLI,2007,300000,1680000,Petrol,Islamabad,Original,Imported,Manual,Used
Daihatsu,Cuore,2001,12123,540000,Petrol,Karachi,Original,Local,Manual,Used
Suzuki,Cultus VXR,2018,63000,2600000,Petrol,Lahore,Original,Local,Manual,Used
Honda,Civic Oriel,2018,72500,4900000,Petrol,Karachi,Original,Local,Automatic,Used
Honda,Civic Oriel,2006,123456,1420000,Petrol,Multan,Original,Local,Manual,Used
Suzuki,Alto,2005,225533,370000,CNG,Karachi,Duplicate,Local,Manual,Used
Suzuki,Mehran VXR,2014,100000,925000,Petrol,Faisalabad,Original,Imported,Manual,Used
Suzuki,Alto,2023,7000,2950000,Petrol,Punjab,Original,Local,Automatic,Used
FAW,X-PV,2019,12000,1100000,Petrol,Islamabad,Original,Imported,Manual,Used
Suzuki,Swift,2017,80000,2450000,Petrol,Lahore,Original,Local,Manual,Used
Suzuki,Swift,2019,90000,2650000,Petrol,Karachi,Original,Local,Manual,Used
Suzuki,Wagon R,2016,122000,1820000,Petrol,Lahore,Original,Local,Manual,Used
Toyota,Corolla GLI,2015,230000,3500000,Petrol,Islamabad,Original,Imported,Manual,Used
Daihatsu,Cuore,2004,150000,820000,Petrol,Lahore,Original,Imported,Manual,Used
Hyundai,Santro,2005,130000,1000000,Petrol,Lahore,Original,Local,Manual,Used
Honda,City IVTEC,2021,66000,3850000,Petrol,Islamabad,Original,Local,Manual,Used
Hyundai,Santro,2006,168000,830000,Petrol,Lahore,Original,Imported,Manual,Used
Mitsubishi,Ek Wagon,2017,72000,2150000,Petrol,Lahore,Original,Imported,Automatic,Used
Daihatsu,Cuore,2001,10000,565000,Petrol,Karachi,Original,Local,Manual,Used
Suzuki,Alto,2020,53000,2285000,Petrol,Islamabad,Original,Local,Manual,Used
Changan,Karvaan,2021,45000,2150000,Petrol,Punjab,Original,Imported,Manual,Used
Suzuki,Wagon R,2019,65000,2290000,Petrol,Lahore,Original,Local,Manual,Used
Toyota,Corolla GLI,2018,109000,4300000,Petrol,Sindh,Original,Local,Automatic,Used
Suzuki,Baleno,2005,182861,925000,Petrol,Lahore,Original,Local,Manual,Used
Suzuki,Ravi,2019,46000,1350000,Petrol,Lahore,Original,Local,Manual,Used
KIA,Spectra,2003,99999,350000,Petrol,Karachi,Original,Imported,Manual,Used
Suzuki,Ravi,2020,29817,1260000,Petrol,Sindh,Original,Local,Manual,Used
Daihatsu,Mira,2014,92000,2150000,Petrol,Karachi,Original,Imported,Automatic,Used
Suzuki,Bolan,2008,74000,595000,Petrol,Lahore,Original,Local,Manual,Used
Honda,City IVTEC,2016,66000,3750000,Petrol,Lahore,Original,Local,Automatic,Used
Daihatsu,Cuore,2003,65000,700000,Petrol,Islamabad,Original,Imported,Manual,Used
Daihatsu,Cuore,2010,200000,1100000,Petrol,Karachi,Original,Imported,Manual,Used
Suzuki,Swift,2015,150000,2300000,Petrol,Islamabad,Original,Imported,Manual,Used
Honda,City IVTEC,2018,90000,3450000,Petrol,Islamabad,Original,Local,Manual,Used
Suzuki,Wagon R,2015,98000,2250000,Petrol,Karachi,Original,Imported,Automatic,Used
Daihatsu,Mira,2012,147000,2050000,Petrol,Karachi,Original,Imported,Automatic,Used
Suzuki,Cultus VXR,2013,85000,1280000,Petrol,Lahore,Original,Local,Manual,Used
Mitsubishi,Ek Wagon,2014,96000,2150000,Petrol,Karachi,Original,Imported,Automatic,Used
Hyundai,Santro,2006,155000,1280000,Petrol,Lahore,Original,Imported,Manual,Used
Suzuki,Alto,2007,118000,875000,Petrol,Karachi,Original,Local,Manual,Used
Honda,Civic Prosmetic,2015,86000,3200000,Petrol,Karachi,Original,Local,Automatic,Used
Mitsubishi,Lancer,2004,10000,1250000,CNG,Gujranwala,Original,Imported,Manual,Used
Suzuki,Swift,2016,55000,4650000,Petrol,Lahore,Original,Imported,Automatic,Used
Hyundai,Santro,2005,12345,900000,Petrol,Karachi,Original,Local,Manual,Used
Suzuki,Wagon R,2012,120000,2100000,Petrol,Lahore,Original,Imported,Automatic,Used
Hyundai,Santro,2007,11111,1100000,Petrol,Sindh,Original,Imported,Manual,Used
Mitsubishi,Lancer,2005,100000,1300000,Petrol,Lahore,Original,Local,Manual,Used
Suzuki,Mehran VXR,2016,65000,1100000,Petrol,Lahore,Original,Local,Manual,Used
Daihatsu,Cuore,2006,95000,660000,Petrol,Lahore,Original,Imported,Manual,Used
Toyota,Altis Grande,2017,47000,4600000,Petrol,Karachi,Original,Local,Automatic,Used
Toyota,Corrolla Altis,2018,84680,3850000,Petrol,Karachi,Original,Local,Automatic,Used
Honda,Civic Prosmetic,2003,189000,1400000,Petrol,Multan,Original,Imported,Automatic,Used
Suzuki,Baleno,2004,100000,680000,Petrol,Karachi,Original,Local,Manual,Used
Toyota,Yaris,2021,33000,4550000,Petrol,Islamabad,Original,Local,Automatic,Used
Suzuki,Baleno,2005,183350,1150000,Petrol,Lahore,Original,Local,Manual,Used
Hyundai,Santro,2004,111942,975000,Petrol,Sindh,Original,Local,Manual,Used
Daihatsu,Move,2015,78200,2530000,Petrol,Islamabad,Original,Imported,Automatic,Used
KIA,Classic,2005,185000,780000,Petrol,Faisalabad,Original,Local,Manual,Used
Honda,City Aspire,2018,75000,3530000,Petrol,Lahore,Original,Local,Automatic,Used
Suzuki,Wagon R,2021,34000,2950000,Petrol,Punjab,Original,Local,Automatic,Used
Suzuki,Every,2012,256000,1800000,Petrol,Islamabad,Original,Imported,Automatic,Used
FAW,X-PV,2018,88000,1200000,Petrol,Lahore,Original,Local,Manual,Used
Toyota,Corolla GLI,2014,133000,2995000,Petrol,Lahore,Original,Local,Automatic,Used
Daihatsu,Cuore,2008,100000,500000,Petrol,Karachi,Duplicate,Local,Manual,Used
Toyota,Corolla GLI,2019,97000,4950000,Petrol,Lahore,Original,Local,Automatic,Used
Toyota,Corolla GLI,2017,97000,3875000,Petrol,Karachi,Original,Imported,Automatic,Used
Suzuki,Wagon R,2015,63000,1690000,Petrol,Karachi,Original,Local,Manual,Used
Suzuki,Mehran VXR,2003,44000,550000,Petrol,Faisalabad,Original,Local,Manual,Used
Honda,Civic Oriel,2011,125000,2600000,Petrol,Lahore,Original,Imported,Manual,Used
Suzuki,Alto,2007,111300,680000,Petrol,Karachi,Original,Local,Manual,Used
Suzuki,Alto,2010,151000,865000,Petrol,Karachi,Original,Local,Manual,Used
Toyota,Corolla XLI,2016,175000,3300000,Petrol,Lahore,Original,Imported,Manual,Used
Suzuki,Swift,2017,76500,1985000,Petrol,Karachi,Original,Local,Manual,Used
Suzuki,Alto,2006,104000,745000,Petrol,Karachi,Original,Local,Manual,Used
Suzuki,Cultus VXR,2002,100000,625000,Petrol,Faisalabad,Original,Local,Manual,Used
Daihatsu,Mira,2020,22070,3495000,Petrol,Unregistered,Original,Imported,Automatic,Used
Suzuki,Bolan,2006,101010,555000,Petrol,Karachi,Original,Local,Manual,Used
Mitsubishi,Ek Wagon,2013,125000,1880000,Petrol,Lahore,Original,Imported,Automatic,Used
Suzuki,Bolan,2018,20000,1050000,Petrol,Lahore,Original,Imported,Manual,Used
Daihatsu,Mira,2014,100000,2080000,Petrol,Karachi,Original,Imported,Automatic,Used
Suzuki,Every,2010,205700,1350000,Petrol,Karachi,Original,Imported,Automatic,Used
Toyota,Yaris,2020,90000,4500000,Petrol,Islamabad,Original,Local,Automatic,Used
KIA,Spectra,2001,236530,650000,Petrol,Lahore,Original,Local,Automatic,Used
FAW,X-PV,2015,100000,820000,Petrol,Lahore,Original,Imported,Manual,Used
Toyota,Corolla XLI,2020,174000,3800000,Petrol,Punjab,Original,Imported,Manual,Used
Toyota,Corolla XLI,2005,100000,800000,Petrol,Peshawar,Original,Imported,Manual,Used
Toyota,Corolla GLI,2018,56500,4150000,Petrol,Lahore,Original,Local,Manual,Used
Honda,City IVTEC,2018,73000,3600000,Petrol,Hyderabad,Original,Local,Manual,Used
Chevrolet,Joy,2007,115000,770000,Petrol,Lahore,Original,Imported,Manual,Used
Suzuki,Swift,2016,158000,2200000,Petrol,Lahore,Original,Local,Manual,Used
Hyundai,Santro,2004,131381,795000,Petrol,Karachi,Original,Imported,Manual,Used
Suzuki,Swift,2014,98000,1590000,Petrol,Karachi,Original,Local,Manual,Used
Daihatsu,Cuore,2003,111111,620000,Petrol,Faisalabad,Original,Imported,Manual,Used
Suzuki,Wagon R,2017,70000,1790000,Petrol,Lahore,Original,Local,Manual,Used
Toyota,Altis Grande,2014,118000,3850000,Petrol,Lahore,Original,Local,Automatic,Used
Honda,City IDSI,2004,194556,1450000,Petrol,Lahore,Original,Local,Manual,Used
Honda,City IVTEC,2017,83000,3450000,Petrol,Lahore,Original,Local,Automatic,Used
Suzuki,Bolan,2013,123456,835000,Petrol,Lahore,Original,Local,Manual,Used
Toyota,Yaris,2021,38000,4150000,Petrol,Lahore,Original,Local,Automatic,Used
Suzuki,Alto,2022,40400,2750000,Petrol,Islamabad,Original,Local,Automatic,Used
Suzuki,Mehran VXR,2018,90000,1390000,Petrol,Lahore,Original,Local,Manual,Used
Daihatsu,Terios Kid,2001,58000,1480000,Petrol,Karachi,Original,Imported,Automatic,Used
Toyota,Altis Grande,2018,97600,4900000,Petrol,Karachi,Original,Local,Automatic,Used
Suzuki,Mehran VXR,2016,55000,830000,Petrol,Karachi,Original,Local,Manual,Used
Hyundai,Santro,2001,100100,550000,Petrol,Karachi,Original,Local,Manual,Used
Mitsubishi,Lancer,2005,180000,1330000,Petrol,Karachi,Original,Imported,Automatic,Used
Suzuki,Swift,2015,82000,2350000,Petrol,Karachi,Original,Local,Automatic,Used
Toyota,Corolla XLI,2011,160000,2475000,Petrol,Lahore,Original,Imported,Manual,Used
Honda,City Aspire,2019,90000,4200000,Petrol,Lahore,Original,Local,Automatic,Used
Toyota,Corolla GLI,2014,196000,3670000,Petrol,Islamabad,Original,Local,Automatic,Used
Toyota,Corrolla Altis,2018,53000,4595000,Petrol,Karachi,Original,Local,Automatic,Used
Suzuki,Wagon R,2022,33000,2975000,Petrol,Karachi,Original,Local,Automatic,Used
Honda,City IVTEC,2009,154000,2375000,Petrol,Lahore,Original,Local,Automatic,Used
Suzuki,Wagon R,2022,24000,3310000,Petrol,Punjab,Original,Local,Automatic,Used
Honda,City IVTEC,2020,81000,3220000,Petrol,Lahore,Original,Local,Manual,Used
Daihatsu,Hijet,2018,238132,1630000,Petrol,Lahore,Original,Imported,Manual,Used
Daihatsu,Mira,2007,50000,1320000,Petrol,Punjab,Original,Imported,Automatic,Used
Daihatsu,Mira,2019,48000,3450000,Petrol,Karachi,Original,Imported,Automatic,Used
Suzuki,Alto,2014,82142,1850000,Petrol,Karachi,Original,Imported,Automatic,Used
Toyota,Corrolla Altis,2015,136000,4140000,Petrol,Lahore,Original,Local,Automatic,Used
Changan,Alsvin,2021,19500,3550000,Petrol,Karachi,Original,Local,Automatic,Used
Suzuki,Alto,2009,87000,950000,Petrol,Karachi,Original,Local,Manual,Used
Suzuki,Baleno,2001,158000,990000,Petrol,Lahore,Original,Imported,Manual,Used
Toyota,Corrolla Altis,2000,100000,1000000,Petrol,Lahore,Original,Imported,Manual,Used
Honda,City IVTEC,2011,195000,2450000,Petrol,Lahore,Original,Local,Manual,Used
Suzuki,Swift,2014,200000,2050000,Petrol,Islamabad,Original,Local,Manual,Used
Daihatsu,Mira,2021,3700,3570000,Petrol,Unregistered,Original,Imported,Automatic,Used
Suzuki,Every,2012,80000,1800000,Petrol,Lahore,Original,Imported,Automatic,Used
Hyundai,Santro,2001,100000,750000,Petrol,Karachi,Original,Local,Manual,Used
Daihatsu,Cuore,2005,25863,850000,Petrol,Lahore,Original,Local,Manual,Used
Daihatsu,Mira,2015,220000,2670000,Petrol,Islamabad,Original,Imported,Automatic,Used
Suzuki,Bolan,2011,71000,630000,Petrol,Khanewal,Original,Local,Manual,Used
Daihatsu,Terios Kid,2006,100000,1450000,Petrol,Sindh,Original,Imported,Automatic,Used
Suzuki,Wagon R,2018,44000,2300000,Petrol,Lahore,Original,Imported,Automatic,Used
KIA,Classic,2003,12345,620000,Petrol,Multan,Original,Imported,Manual,Used
Daihatsu,Cuore,2010,12345,1050000,Petrol,Multan,Original,Imported,Manual,Used
Daihatsu,Cuore,2004,100000,650000,Petrol,Karachi,Original,Local,Manual,Used
Suzuki,Alto,2021,28000,2250000,Petrol,Karachi,Original,Local,Manual,Used
Suzuki,Wagon R,2017,92000,2230000,Petrol,Islamabad,Original,Local,Manual,Used
Chevrolet,Exclusive,2003,140000,650000,Petrol,Lahore,Original,Imported,Manual,Used
Toyota,Corolla GLI,2017,102833,3650000,Petrol,Islamabad,Original,Local,Manual,Used
Daihatsu,Cuore,2007,50000,860000,Petrol,Multan,Original,Local,Automatic,Used
Hyundai,Santro,2005,185000,850000,Petrol,Lahore,Original,Local,Manual,Used
Suzuki,Bolan,2010,100000,850000,Petrol,Lahore,Original,Local,Manual,Used
Suzuki,Wagon R,2016,80000,2700000,Petrol,Islamabad,Original,Imported,Automatic,Used
Suzuki,Alto,2022,42000,2450000,Petrol,Lahore,Original,Local,Manual,Used
Suzuki,Wagon R,2018,125000,1990000,Petrol,Rawalpindi,Original,Local,Manual,Used
Honda,City IVTEC,2015,135500,2850000,Petrol,Lahore,Original,Local,Manual,Used
Daihatsu,Cuore,2007,150000,870000,Petrol,Sialkot,Original,Imported,Manual,Used
Honda,City Vario,2005,92000,1690000,Petrol,Lahore,Original,Local,Automatic,Used
Honda,Civic Oriel,2009,100000,1900000,Petrol,Lahore,Original,Imported,Automatic,Used
Suzuki,Baleno,2000,244449,895000,Petrol,Islamabad,Original,Imported,Manual,Used
Suzuki,Wagon R,2019,18360,3500000,Petrol,Unregistered,Original,Imported,Automatic,Used
Suzuki,Bolan,2015,32000,975000,Petrol,Rawalpindi,Original,Local,Manual,Used
Honda,City Aspire,2020,45500,4275000,Petrol,Lahore,Original,Local,Automatic,Used
Suzuki,Swift,2018,48500,2600000,Petrol,Islamabad,Original,Local,Manual,Used
Suzuki,Cultus VXR,2011,19641,1020000,Petrol,Karachi,Original,Local,Manual,Used
Hyundai,Santro,2003,100000,680000,Petrol,Karachi,Original,Imported,Manual,Used
Hyundai,Santro,2003,12345,720000,Petrol,Sialkot,Original,Imported,Manual,Used
Honda,Civic Prosmetic,2008,87000,1680000,Petrol,Karachi,Original,Local,Automatic,Used
Suzuki,Bolan,2017,45000,1450000,Petrol,Islamabad,Original,Local,Manual,Used
Toyota,Corolla XLI,2007,1234,1680000,Petrol,Lahore,Original,Imported,Manual,Used
Daihatsu,Move,2007,185647,1950000,Petrol,Islamabad,Original,Imported,Automatic,Used
Toyota,Corolla GLI,2015,92000,3400000,Petrol,Karachi,Original,Imported,Automatic,Used
Honda,City Aspire,2021,32000,4350000,Petrol,Karachi,Original,Local,Automatic,Used
Daihatsu,Mira,2019,43000,3300000,Petrol,Islamabad,Original,Imported,Automatic,Used
KIA,Spectra,2002,2000,750000,Petrol,Lahore,Original,Local,Manual,Used
